Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
FRECHETTE PETER L,Frechette Peter L,Peter,L,Frechette,,Peter L Frechette ,PDCO UW Equity,PATTERSON COS,Patterson Cos,8/23/13,3729112,3.534,-246851,41.39
GREENE RONALD G,Greene Ronald G,Ronald,G,Greene,,Ronald G Greene ,DNR UN Equity,DENBURY RESOURCE,Denbury Resource,12/31/13,3697538,1.008,1309,16.53
FLANAGAN MARTIN L,Flanagan Martin L,Martin,L,Flanagan,,Martin L Flanagan ,IVZ UN Equity,INVESCO LTD,Invesco Ltd,2/28/13,3683364,0.832,#N/A N/A,36.48
MANOOGIAN RICHARD ALEXAN,Manoogian Richard Alexan,Richard,Alexan,Manoogian,,Richard Alexan Manoogian ,MAS UN Equity,MASCO CORP,Masco Corp,11/14/13,3602452,1.009,-300000,23.09
LAPENTA ROBERT V,Lapenta Robert V,Robert,V,Lapenta,,Robert V Lapenta ,LLL UN Equity,L-3 COMM HLDGS,L-3 Comm Hldgs,6/26/00,3601142,4.063,#N/A N/A,105.22
WILMERS ROBERT G,Wilmers Robert G,Robert,G,Wilmers,,Robert G Wilmers ,MTB UN Equity,M&T BANK CORP,M&T Bank Corp,1/31/13,3597961,2.763,#N/A N/A,115.76
MOGHADAM HAMID R,Moghadam Hamid R,Hamid,R,Moghadam,,Hamid R Moghadam ,PLD UN Equity,PROLOGIS INC,Prologis Inc,5/20/13,3569930,0.716,24255,37.68
WILDEROTTER MARY AGNES,Wilderotter Mary Agnes,Mary,Agnes,Wilderotter,,Mary Agnes Wilderotter ,FTR UW Equity,FRONTIER COMMUNI,Frontier Communi,7/29/13,3520809,0.352,-36785,4.73
MANDELBAUM DAVID M,Mandelbaum David M,David,M,Mandelbaum,,David M Mandelbaum ,VNO UN Equity,VORNADO RLTY TST,Vornado Rlty Tst,3/25/13,3448838,1.844,#N/A N/A,90.07
MARGOLIS ROBERT J,Margolis Robert J,Robert,J,Margolis,,Robert J Margolis ,DVA UN Equity,DAVITA HEALTHCAR,Davita Healthcar,12/31/12,3327494,1.564,#N/A N/A,65.26
