Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
SUTHERLIN MICHAEL W,Sutherlin Michael W,Michael,W,Sutherlin,,Michael W Sutherlin ,JOY UN Equity,JOY GLOBAL INC,Joy Global Inc,12/18/13,184918,0.181,#N/A N/A,55.18
PINCHUK NICHOLAS T,Pinchuk Nicholas T,Nicholas,T,Pinchuk,,Nicholas T Pinchuk ,SNA UN Equity,SNAP-ON INC,Snap-On Inc,12/28/13,181401,0.312,25026,107.52
OMENN GILBERT S,Omenn Gilbert S,Gilbert,S,Omenn,,Gilbert S Omenn ,AMGN UW Equity,AMGEN INC,Amgen Inc,4/26/13,178520,0.024,#N/A N/A,116.44
HYDE III JOSEPH R,Hyde Iii Joseph R,Joseph,R,Hyde,,Joseph R Hyde ,AZO UN Equity,AUTOZONE INC,Autozone Inc,1/2/14,176866,0.525,#N/A N/A,485.23
BLINN MARK A,Blinn Mark A,Mark,A,Blinn,,Mark A Blinn ,FLS UN Equity,FLOWSERVE CORP,Flowserve Corp,4/29/13,171663,0.123,-84000,77.16
CAHILL JOHN T,Cahill John T,John,T,Cahill,,John T Cahill ,KRFT UW Equity,KRAFT FOODS GROU,Kraft Foods Grou,2/25/13,169745,0.028,#N/A N/A,53.4
LOEFFLER MARTIN HANS,Loeffler Martin Hans,Martin,Hans,Loeffler,,Martin Hans Loeffler ,APH UN Equity,AMPHENOL CORP-A,Amphenol Corp-A,5/23/13,167883,0.106,1603,88.21
DEYO RUNSELL C,Deyo RUNsell C,RUNsell,C,Deyo,,RUNsell C Deyo ,JNJ UN Equity,JOHNSON&JOHNSON,Johnson&Johnson,2/22/12,166718,0.006,-156,94.192
LEVINSON ARTHUR D,Levinson Arthur D,Arthur,D,Levinson,,Arthur D Levinson ,AAPL UW Equity,APPLE INC,Apple Inc,12/17/13,164136,0.018,-63,543.75
HAGEMANN ROBERT A,Hagemann Robert A,Robert,A,Hagemann,,Robert A Hagemann ,DGX UN Equity,QUEST DIAGNOSTIC,Quest Diagnostic,3/5/13,162520,0.112,3441,53.26
BRITT GLENN A,Britt Glenn A,Glenn,A,Britt,,Glenn A Britt ,TWC UN Equity,TIME WARNER CABL,Time Warner Cabl,12/26/13,158976,0.056,#N/A N/A,133.76
ANGEL STEPHEN F,Angel Stephen F,Stephen,F,Angel,,Stephen F Angel ,PX UN Equity,PRAXAIR INC,Praxair Inc,3/12/13,151910,0.052,#N/A N/A,130.26
BALL F MICHAEL,Ball F Michael,F,Michael,Ball,,F Michael Ball ,HSP UN Equity,HOSPIRA INC,Hospira Inc,3/28/13,148371,0.089,-14965,41.18
GALLAHUE KIERAN T,Gallahue Kieran T,Kieran,T,Gallahue,,Kieran T Gallahue ,CFN UN Equity,CAREFUNION CORP,CarefUNion Corp,12/2/13,147873,0.07,-25000,40.15
ARCHER TIMOTHY M,Archer Timothy M,Timothy,M,Archer,,Timothy M Archer ,LRCX UW Equity,LAM RESEARCH,Lam Research,12/13/13,147602,0.091,-19483,54.16
PROKOPANKO JAMES T,Prokopanko James T,James,T,Prokopanko,,James T Prokopanko ,MOS UN Equity,MOSAIC CO/THE,Mosaic Co/The,7/27/13,143580,0.048,24822,46.78
BLAIR BRYCE,Blair Bryce,Bryce,,Blair,,Bryce  Blair ,AVB UN Equity,AVALONBAY COMMUN,Avalonbay Commun,2/13/13,143034,0.111,345,121.61
MCCRACKEN WILLIAM E,Mccracken William E,William,E,Mccracken,,William E Mccracken ,CA UW Equity,CA INC,Ca Inc,8/31/12,133878,0.03,-1807,33.43
DELEN DANIEL M,Delen Daniel M,Daniel,M,Delen,,Daniel M Delen ,RAI UN Equity,REYNOLDS AMERICA,Reynolds America,3/12/13,131451,0.024,-23005,48.49
MATHEW SARA,Mathew Sara,Sara,,Mathew,,Sara  Mathew ,DNB UN Equity,DUN & BRADSTREET,Dun & Bradstreet,9/18/13,130829,0.343,#N/A N/A,122.44
RODRIGUEZ CARLOS A,Rodriguez Carlos A,Carlos,A,Rodriguez,,Carlos A Rodriguez ,ADP UW Equity,AUTOMATIC DATA,Automatic Data,1/3/14,130085,0.027,162,80.07
JAMES DONALD M,James Donald M,Donald,M,James,,Donald M James ,VMC UN Equity,VULCAN MATERIALS,Vulcan Materials,11/5/13,127880,0.098,13155,59.44
PALIWAL DINESH C,Paliwal Dinesh C,Dinesh,C,Paliwal,,Dinesh C Paliwal ,HAR UN Equity,HARMAN INTL,Harman Intl,9/13/13,127846,0.189,-23002,83.01
SWIENTON GREGORY T,Swienton Gregory T,Gregory,T,Swienton,,Gregory T Swienton ,R UN Equity,RYDER SYSTEM INC,Ryder System Inc,2/10/13,127276,0.242,-1142,72.06
BILBREY JOHN P,Bilbrey John P,John,P,Bilbrey,,John P Bilbrey ,HSY UN Equity,HERSHEY CO/THE,Hershey Co/The,2/27/13,126685,0.078,#N/A N/A,97.63
KLAPPA GALE E,Klappa Gale E,Gale,E,Klappa,,Gale E Klappa ,WEC UN Equity,WISCONSIN ENERGY,Wisconsin Energy,10/23/13,123693,0.055,52,40.86
KNAUNS DONALD R,KnaUNs Donald R,Donald,R,KnaUNs,,Donald R KnaUNs ,CLX UN Equity,CLOROX CO,Clorox Co,9/17/13,123487,0.096,134,88.99
SCARBOROUGH DEAN A,Scarborough Dean A,Dean,A,Scarborough,,Dean A Scarborough ,AVY UN Equity,AVERY DENNISON,Avery Dennison,7/8/13,117003,0.121,-23073,49.82
BEER LORI A,Beer Lori A,Lori,A,Beer,,Lori A Beer ,WLP UN Equity,WELLPOINT INC,Wellpoint Inc,5/30/13,113955,0.039,#N/A N/A,91.3
CORNELIUN JAMES M,CorneliUN James M,James,M,CorneliUN,,James M CorneliUN ,MJN UN Equity,MEAD JOHNSON,Mead Johnson,8/15/13,112554,0.056,10000,83.84
GUERTIN TIMOTHY E,Guertin Timothy E,Timothy,E,Guertin,,Timothy E Guertin ,VAR UN Equity,VARIAN MEDICAL S,Varian Medical S,11/21/13,110015,0.104,4849,80.42
AHEARN MICHAEL J,Ahearn Michael J,Michael,J,Ahearn,,Michael J Ahearn ,FSLR UW Equity,FIRST SOLAR INC,First Solar Inc,12/31/13,109847,0.11,916,52.77
KING DAVID P,King David P,David,P,King,,David P King ,LH UN Equity,LABORATORY CP,Laboratory Cp,12/24/13,107386,0.123,#N/A N/A,91.62
OMTVEDT CRAIG P,Omtvedt Craig P,Craig,P,Omtvedt,,Craig P Omtvedt ,BEAM UN Equity,BEAM INC,Beam Inc,2/9/11,104927,0.064,#N/A N/A,65.95
POLLITT JR BYRON H,Pollitt Jr Byron H,Byron,H,Pollitt,Jr,Byron H Pollitt Jr,V UN Equity,VISA INC-CLASS A,Visa Inc-Class A,12/2/13,103252,0.02,8132,222.11
MCDEVITT JOHN J,Mcdevitt John J,John,J,Mcdevitt,,John J Mcdevitt ,UPS UN Equity,UNITED PARCEL-B,United Parcel-B,10/25/13,103116,0.014,#N/A N/A,101.69
ALLEN SAMUEL R,Allen Samuel R,Samuel,R,Allen,,Samuel R Allen ,DE UN Equity,DEERE & CO,Deere & Co,12/11/13,101691,0.027,#N/A N/A,89.74
TAICLET JR JAMES D,Taiclet Jr James D,James,D,Taiclet,Jr,James D Taiclet Jr,AMT UN Equity,AMERICAN TOWER C,American Tower C,11/4/13,101671,0.026,#N/A N/A,82
WILSON STEPHEN R,Wilson Stephen R,Stephen,R,Wilson,,Stephen R Wilson ,CF UN Equity,CF INDUNTRIES HO,Cf IndUNtries Ho,11/12/13,99327,0.173,-45100,232.83
BRANDT DONALD E,Brandt Donald E,Donald,E,Brandt,,Donald E Brandt ,PNW UN Equity,PINNACLE WEST,Pinnacle West,10/22/13,99145,0.09,14866,51.98
WATSON JOHN S,Watson John S,John,S,Watson,,John S Watson ,CVX UN Equity,CHEVRON CORP,Chevron Corp,2/24/12,98069,0.005,#N/A N/A,123.42
JONES LESLIE A,Jones Leslie A,Leslie,A,Jones,,Leslie A Jones ,XRAY UW Equity,DENTSPLY INTL,Dentsply Intl,11/8/13,97892,0.069,-2000,48.7
GAVRIELOV MOSHE N,Gavrielov Moshe N,Moshe,N,Gavrielov,,Moshe N Gavrielov ,XLNX UW Equity,XILINX INC,Xilinx Inc,7/30/13,95850,0.036,#N/A N/A,45.74
CAUFIELD FRANK J,Caufield Frank J,Frank,J,Caufield,,Frank J Caufield ,TWX UN Equity,TIME WARNER INC,Time Warner Inc,5/15/12,95443,0.011,862,66.29
MILLER JAMES H,Miller James H,James,H,Miller,,James H Miller ,PPL UN Equity,PPL CORPORATION,Ppl Corporation,1/21/12,88758,0.014,28277,29.61
MCADAM JOHN,Mcadam John,John,,Mcadam,,John  Mcadam ,FFIV UW Equity,F5 NETWORKS,F5 Networks,12/30/13,86751,0.112,-16000,89.98
BALL RUNSELL D,Ball RUNsell D,RUNsell,D,Ball,,RUNsell D Ball ,NEM UN Equity,NEWMONT MINING,Newmont Mining,3/4/13,78808,0.016,9280,23.5
VOSS THOMAS R,Voss Thomas R,Thomas,R,Voss,,Thomas R Voss ,AEE UN Equity,AMEREN CORP,Ameren Corp,3/8/13,78413,0.032,#N/A N/A,35.99
RICHTER KIRK A,Richter Kirk A,Kirk,A,Richter,,Kirk A Richter ,SIAL UW Equity,SIGMA-ALDRICH,Sigma-Aldrich,2/14/12,77834,0.065,977,93.05
MCGEE LIAM E,Mcgee Liam E,Liam,E,Mcgee,,Liam E Mcgee ,HIG UN Equity,HARTFORD FINL SV,Hartford Finl Sv,8/9/13,76178,0.017,#N/A N/A,35.52
LOWE JOHN E,Lowe John E,John,E,Lowe,,John E Lowe ,COP UN Equity,CONOCOPHILLIPS,Conocophillips,5/7/08,72470,0.006,-3187,69.66
PEARSON DANIEL R,Pearson Daniel R,Daniel,R,Pearson,,Daniel R Pearson ,HRS UN Equity,HARRIS CORP,Harris Corp,11/7/12,69556,0.065,11205,68.17
THULIN INGE G,Thulin Inge G,Inge,G,Thulin,,Inge G Thulin ,MMM UN Equity,3M CO,3M Co,1/2/14,63145,0.009,20,137.33
NEWMAN STEVEN L,Newman Steven L,Steven,L,Newman,,Steven L Newman ,RIG UN Equity,TRANSOCEAN LTD,Transocean Ltd,12/18/13,61066,0.017,-2672,48.31
BOSCIA JON A,Boscia Jon A,Jon,A,Boscia,,Jon A Boscia ,SO UN Equity,SOUTHERN CO,Southern Co,12/31/12,59000,0.007,#N/A N/A,40.37
PROTZ JR WILLIAM F,Protz Jr William F,William,F,Protz,Jr,William F Protz Jr,TEG UN Equity,INTEGRYS ENERGY,Integrys Energy,12/31/13,52406,0.066,90,53.37
KINGSLEY LAWRENCE D,Kingsley Lawrence D,Lawrence,D,Kingsley,,Lawrence D Kingsley ,PLL UN Equity,PALL CORP,Pall Corp,10/3/13,51247,0.046,#N/A N/A,83.97
SCANGOS GEORGE A,Scangos George A,George,A,Scangos,,George A Scangos ,BIIB UW Equity,BIOGEN IDEC INC,Biogen Idec Inc,11/1/13,49800,0.021,-2239,284.4
LOWE JOHN E,Lowe John E,John,E,Lowe,,John E Lowe ,PSX UN Equity,PHILLIPS 66,Phillips 66,11/11/13,46896,0.008,-4999,76.48
BARNHOLT EDWARD W,Barnholt Edward W,Edward,W,Barnholt,,Edward W Barnholt ,KLAC UW Equity,KLA-TENCOR CORP,Kla-Tencor Corp,11/6/13,42976,0.026,#N/A N/A,62.39
ECKERSLEY TIMOTHY,Eckersley Timothy,Timothy,,Eckersley,,Timothy  Eckersley ,ALLE UN Equity,ALLEGION PLC,Allegion Plc,12/2/13,41820,0.043,#N/A N/A,43.99
MARSH KEVIN B,Marsh Kevin B,Kevin,B,Marsh,,Kevin B Marsh ,SCG UN Equity,SCANA CORP,Scana Corp,2/20/13,40258,0.029,1304,45.84
GRAHAM DONALD E,Graham Donald E,Donald,E,Graham,,Donald E Graham ,GHC UN Equity,GRAHAM HOLDING-B,Graham Holding-B,7/17/13,31199,0.502,#N/A N/A,659.84
CHIRICO EMANUEL,Chirico Emanuel,Emanuel,,Chirico,,Emanuel  Chirico ,PVH UN Equity,PVH CORP,Pvh Corp,12/12/13,28372,0.035,10,133.35
BANGA AJAYPAL S,Banga Ajaypal S,Ajaypal,S,Banga,,Ajaypal S Banga ,MA UN Equity,MASTERCARD INC-A,Mastercard Inc-A,5/6/13,27207,0.023,-1500,838.1
STEVENS WILLIAM E,Stevens William E,William,E,Stevens,,William E Stevens ,MKC UN Equity,MCCORMICK-N/V,Mccormick-N/V,4/18/13,22400,0.019,-2367,68.08
PENIKET DAVID J,Peniket David J,David,J,Peniket,,David J Peniket ,ICE UN Equity,INTERCONTINENTAL,Intercontinental,2/8/12,18205,0.016,5120,226
DICKERSON LAWRENCE R,Dickerson Lawrence R,Lawrence,R,Dickerson,,Lawrence R Dickerson ,DO UN Equity,DIAMOND OFFSHORE,Diamond Offshore,5/18/12,9863,0.007,#N/A N/A,55.52
TOMSHACK JAMES C,Tomshack James C,James,C,Tomshack,,James C Tomshack ,PRGO UN Equity,PERRIGO CO PLC,Perrigo Co Plc,8/25/09,8914,0.007,#N/A N/A,157.16
BARNES PETER LESLIE,Barnes Peter Leslie,Peter,Leslie,Barnes,,Peter Leslie Barnes ,NWSA UW Equity,NEWS CORP-CL A,News Corp-Cl A,10/1/13,1989,0.001,#N/A N/A,17.215
DVORAK DAVID C,Dvorak David C,David,C,Dvorak,,David C Dvorak ,ZMH UN Equity,ZIMMER HLDGS,Zimmer Hldgs,11/14/13,,0.101,8793,96.65
MCCALLISTER MICHAEL B,Mccallister Michael B,Michael,B,Mccallister,,Michael B Mccallister ,ZTS UN Equity,ZOETIS INC,Zoetis Inc,11/6/13,,0.001,#N/A N/A,31.99
